"INSTANCE_NUMBER","PROCESS","TIME"
2,4385,"15/04/2021 19:00"
1,4627,"15/04/2021 19:00"
2,4400,"15/04/2021 20:00"
1,4632,"15/04/2021 20:00"
1,4644,"15/04/2021 21:00"
2,4387,"15/04/2021 21:00"
2,4447,"15/04/2021 22:00"
1,4699,"15/04/2021 22:00"
2,4451,"15/04/2021 23:00"
1,4671,"15/04/2021 23:00"
2,4436,"16/04/2021 00:00"
1,4686,"16/04/2021 00:00"
1,4765,"16/04/2021 01:00"
2,4437,"16/04/2021 01:00"
1,4681,"16/04/2021 02:00"
2,4425,"16/04/2021 02:00"
2,4430,"16/04/2021 03:00"
1,4685,"16/04/2021 03:00"
2,4470,"16/04/2021 04:00"
1,4737,"16/04/2021 04:00"
2,4451,"16/04/2021 05:00"
1,4760,"16/04/2021 05:00"
2,4440,"16/04/2021 06:00"
1,4685,"16/04/2021 06:00"
2,4427,"16/04/2021 07:00"
1,4685,"16/04/2021 07:00"
2,4432,"16/04/2021 08:00"
1,4698,"16/04/2021 08:00"
2,4433,"16/04/2021 09:00"
1,4686,"16/04/2021 09:00"
2,4434,"16/04/2021 10:00"
1,4696,"16/04/2021 10:00"
2,4435,"16/04/2021 11:00"
1,4689,"16/04/2021 11:00"
2,4427,"16/04/2021 12:00"
1,4692,"16/04/2021 12:00"
2,4423,"16/04/2021 13:00"
1,4684,"16/04/2021 13:00"
2,4425,"16/04/2021 14:00"
1,4683,"16/04/2021 14:00"
1,4901,"16/04/2021 15:00"
2,4612,"16/04/2021 15:00"
2,4428,"16/04/2021 16:00"
1,4734,"16/04/2021 16:00"
2,4366,"16/04/2021 17:00"
1,4629,"16/04/2021 17:00"
2,4625,"16/04/2021 18:00"
1,4932,"16/04/2021 18:00"
2,4354,"16/04/2021 19:00"
1,4618,"16/04/2021 19:00"
1,4618,"16/04/2021 20:00"
2,4360,"16/04/2021 20:00"
2,4363,"16/04/2021 21:00"
1,4614,"16/04/2021 21:00"
1,4615,"16/04/2021 22:00"
2,4362,"16/04/2021 22:00"
1,4621,"16/04/2021 23:00"
2,4366,"16/04/2021 23:00"
2,4371,"17/04/2021 00:00"
1,4628,"17/04/2021 00:00"
2,4370,"17/04/2021 01:00"
1,4624,"17/04/2021 01:00"
1,4614,"17/04/2021 02:00"
2,4367,"17/04/2021 02:00"
2,4304,"17/04/2021 03:00"
1,4554,"17/04/2021 03:00"
2,4304,"17/04/2021 04:00"
1,4567,"17/04/2021 04:00"
1,4553,"17/04/2021 05:00"
2,4305,"17/04/2021 05:00"
2,4305,"17/04/2021 06:00"
1,4559,"17/04/2021 06:00"
2,4316,"17/04/2021 07:00"
1,4574,"17/04/2021 07:00"
1,4577,"17/04/2021 08:00"
2,4383,"17/04/2021 08:00"
2,4326,"17/04/2021 09:00"
1,4581,"17/04/2021 09:00"
1,4592,"17/04/2021 10:00"
2,4326,"17/04/2021 10:00"
2,4325,"17/04/2021 11:00"
1,4595,"17/04/2021 11:00"
1,4582,"17/04/2021 12:00"
2,4325,"17/04/2021 12:00"
2,4321,"17/04/2021 13:00"
1,4589,"17/04/2021 13:00"
2,4324,"17/04/2021 14:00"
1,4576,"17/04/2021 14:00"
2,4327,"17/04/2021 15:00"
1,4581,"17/04/2021 15:00"
2,4332,"17/04/2021 16:00"
1,4590,"17/04/2021 16:00"
1,4587,"17/04/2021 17:00"
2,4329,"17/04/2021 17:00"
2,4331,"17/04/2021 18:00"
1,4589,"17/04/2021 18:00"
1,4590,"17/04/2021 19:00"
2,4335,"17/04/2021 19:00"
2,4370,"17/04/2021 20:00"
1,4576,"17/04/2021 20:00"
2,4338,"17/04/2021 21:00"
1,4571,"17/04/2021 21:00"
2,4334,"17/04/2021 22:00"
1,4593,"17/04/2021 22:00"
2,4356,"17/04/2021 23:00"
1,4579,"17/04/2021 23:00"
1,4590,"18/04/2021 00:00"
2,4357,"18/04/2021 00:00"
2,4346,"18/04/2021 01:00"
1,4577,"18/04/2021 01:00"
1,4573,"18/04/2021 02:00"
2,4337,"18/04/2021 02:00"
2,4336,"18/04/2021 03:00"
1,4579,"18/04/2021 03:00"
2,4348,"18/04/2021 04:00"
1,4589,"18/04/2021 04:00"
2,4349,"18/04/2021 05:00"
1,4581,"18/04/2021 05:00"
2,4352,"18/04/2021 06:00"
1,4584,"18/04/2021 06:00"
2,4343,"18/04/2021 07:00"
1,4568,"18/04/2021 07:00"
2,4336,"18/04/2021 08:00"
1,4580,"18/04/2021 08:00"
2,4339,"18/04/2021 09:00"
1,4566,"18/04/2021 09:00"
2,4340,"18/04/2021 10:00"
1,4581,"18/04/2021 10:00"
1,4581,"18/04/2021 11:00"
2,4344,"18/04/2021 11:00"
2,4339,"18/04/2021 12:00"
1,4572,"18/04/2021 12:00"
2,4339,"18/04/2021 13:00"
1,4567,"18/04/2021 13:00"
1,4579,"18/04/2021 14:00"
2,4339,"18/04/2021 14:00"
2,4336,"18/04/2021 15:00"
1,4572,"18/04/2021 15:00"
