INSTANCE,SQLID,DATETIME,BUFFERGETS,SQLRANK
1,"83duzmcmjhs6b","21/09/2021 12:00",2944306699,1
1,"cyz0vzwjtgbr8","21/09/2021 12:00",789901726,2
2,"92z70vraqxtvc","21/09/2021 12:00",620679628,3
1,"92z70vraqxtvc","21/09/2021 12:00",530565045,4
2,"bpxhquwnjmnz6","21/09/2021 12:00",486416603,5
1,"b8qkss3pzw8cq","21/09/2021 12:00",415762659,6
1,"bpxhquwnjmnz6","21/09/2021 12:00",356913632,7
2,"cyz0vzwjtgbr8","21/09/2021 12:00",236634486,8
2,"fubwa2hzv4527","21/09/2021 12:00",179823668,9
2,"44ptburrzh90b","21/09/2021 12:00",173672205,10
2,"g18zpwvzu02sf","21/09/2021 13:00",786460452,1
1,"g18zpwvzu02sf","21/09/2021 13:00",778310502,2
1,"cyz0vzwjtgbr8","21/09/2021 13:00",738333123,3
2,"92z70vraqxtvc","21/09/2021 13:00",608016271,4
2,"bpxhquwnjmnz6","21/09/2021 13:00",498147428,5
1,"b8qkss3pzw8cq","21/09/2021 13:00",414047642,6
2,"cyz0vzwjtgbr8","21/09/2021 13:00",288147221,7
1,"bpxhquwnjmnz6","21/09/2021 13:00",245665828,8
2,"44ptburrzh90b","21/09/2021 13:00",178826337,9
1,"2mmbnawnjdmsh","21/09/2021 13:00",164767228,10
1,"g18zpwvzu02sf","21/09/2021 14:00",2673020464,1
2,"83duzmcmjhs6b","21/09/2021 14:00",1923963432,2
1,"83duzmcmjhs6b","21/09/2021 14:00",1915677027,3
2,"g18zpwvzu02sf","21/09/2021 14:00",1815209441,4
1,"92z70vraqxtvc","21/09/2021 14:00",678164636,5
1,"92z70vraqxtvc","21/09/2021 14:00",646165479,6
2,"cyz0vzwjtgbr8","21/09/2021 14:00",524544777,7
2,"cyz0vzwjtgbr8","21/09/2021 14:00",524057974,8
1,"bpxhquwnjmnz6","21/09/2021 14:00",426328262,9
2,"b8qkss3pzw8cq","21/09/2021 14:00",415228250,10
2,"83duzmcmjhs6b","21/09/2021 16:00",853827976,1
2,"cyz0vzwjtgbr8","21/09/2021 16:00",791668978,2
1,"cyz0vzwjtgbr8","21/09/2021 16:00",517806745,3
1,"bpxhquwnjmnz6","21/09/2021 16:00",498265187,4
2,"b8qkss3pzw8cq","21/09/2021 16:00",415422039,5
1,"0s4tuzkcn5v3p","21/09/2021 16:00",393833576,6
2,"bpxhquwnjmnz6","21/09/2021 16:00",386023437,7
1,"fubwa2hzv4527","21/09/2021 16:00",218294392,8
2,"fubwa2hzv4527","21/09/2021 16:00",207481157,9
1,"44ptburrzh90b","21/09/2021 16:00",184739207,10
2,"83duzmcmjhs6b","21/09/2021 17:00",1132337462,1
1,"83duzmcmjhs6b","21/09/2021 17:00",1104353906,2
2,"cyz0vzwjtgbr8","21/09/2021 17:00",1026131205,3
2,"bpxhquwnjmnz6","21/09/2021 17:00",465011399,4
2,"b8qkss3pzw8cq","21/09/2021 17:00",415227074,5
1,"0s4tuzkcn5v3p","21/09/2021 17:00",400534217,6
1,"fubwa2hzv4527","21/09/2021 17:00",371065240,7
2,"fubwa2hzv4527","21/09/2021 17:00",343823390,8
1,"bpxhquwnjmnz6","21/09/2021 17:00",319265024,9
2,"44ptburrzh90b","21/09/2021 17:00",199447504,10
1,"83duzmcmjhs6b","21/09/2021 18:00",2885802141,1
2,"92z70vraqxtvc","21/09/2021 18:00",760938905,2
2,"cyz0vzwjtgbr8","21/09/2021 18:00",549918913,3
1,"cyz0vzwjtgbr8","21/09/2021 18:00",511608644,4
2,"b8qkss3pzw8cq","21/09/2021 18:00",415035635,5
1,"bpxhquwnjmnz6","21/09/2021 18:00",331718763,6
2,"fubwa2hzv4527","21/09/2021 18:00",254988124,7
1,"fubwa2hzv4527","21/09/2021 18:00",249131167,8
2,"44ptburrzh90b","21/09/2021 18:00",216607078,9
1,"44ptburrzh90b","21/09/2021 18:00",215616918,10
1,"cyz0vzwjtgbr8","21/09/2021 19:00",785832931,1
2,"92z70vraqxtvc","21/09/2021 19:00",729601769,2
1,"bq83hhrs0n6ju","21/09/2021 19:00",671577300,3
1,"60crdf74q2ygw","21/09/2021 19:00",630494600,4
2,"bq83hhrs0n6ju","21/09/2021 19:00",622029154,5
2,"60crdf74q2ygw","21/09/2021 19:00",583808376,6
1,"b8qkss3pzw8cq","21/09/2021 19:00",415327193,7
2,"bpxhquwnjmnz6","21/09/2021 19:00",410960501,8
1,"bpxhquwnjmnz6","21/09/2021 19:00",367099079,9
