AWRDATE,OBJECT,VALUE,RANK
"26/09/2021 21:00","SUBSCRIPTION_PRESENCE_LOCATION","386696396896",3
"26/09/2021 21:00","HISTO_GPRS_09","289333171712",4
"26/09/2021 21:00","SUBSCRIPTION_MRNUMBER_IDX","237978407264",5
"26/09/2021 21:00","PREINVENTORY","201253776608",6
"26/09/2021 21:00","POOL_CDR","166749179664",7
"26/09/2021 21:00","SUBS_PRESENCE_LOCATION_PK","139865961328",8
"26/09/2021 21:00","SUBSCRIPTION_IMSI_IDX","116077950688",9
"26/09/2021 21:00","CUSTOMER_PK","104896353856",10
"26/09/2021 22:00","SUBSCRIPTION_CONSUMPTION_PK","5760615234144",1
"26/09/2021 22:00","SUBSCRIPTION","3003729247776",2
"26/09/2021 22:00","SUBSCRIPTION_PRESENCE_LOCATION","387113787696",3
"26/09/2021 22:00","HISTO_GPRS_09","265353858800",4
"26/09/2021 22:00","SUBSCRIPTION_MRNUMBER_IDX","238300108416",5
"26/09/2021 22:00","PREINVENTORY","201347779904",6
"26/09/2021 22:00","POOL_CDR","175721835792",7
"26/09/2021 22:00","SUBS_PRESENCE_LOCATION_PK","139970226080",8
"26/09/2021 22:00","SUBSCRIPTION_IMSI_IDX","116170553472",9
"26/09/2021 22:00","CUSTOMER_PK","104972961664",10
"26/09/2021 23:00","SUBSCRIPTION_CONSUMPTION_PK","5761583489184",1
"26/09/2021 23:00","SUBSCRIPTION","3006133519792",2
"26/09/2021 23:00","SUBSCRIPTION_PRESENCE_LOCATION","387553510480",3
"26/09/2021 23:00","HISTO_GPRS_09","288009391280",4
"26/09/2021 23:00","SUBSCRIPTION_MRNUMBER_IDX","238627430624",5
"26/09/2021 23:00","PREINVENTORY","201422436416",6
"26/09/2021 23:00","POOL_CDR","168430933536",7
"26/09/2021 23:00","SUBS_PRESENCE_LOCATION_PK","140083305264",8
"26/09/2021 23:00","SUBSCRIPTION_IMSI_IDX","116263251424",9
"26/09/2021 23:00","CUSTOMER_PK","105049096160",10
"27/09/2021 00:00","SUBSCRIPTION_CONSUMPTION_PK","5762564656320",1
"27/09/2021 00:00","SUBSCRIPTION","3008459269888",2
"27/09/2021 00:00","SUBSCRIPTION_PRESENCE_LOCATION","387975204960",3
"27/09/2021 00:00","HISTO_GPRS_09","299572408336",4
"27/09/2021 00:00","SUBSCRIPTION_MRNUMBER_IDX","238927506432",5
"27/09/2021 00:00","PREINVENTORY","201488540832",6
"27/09/2021 00:00","POOL_CDR","163206620864",7
"27/09/2021 00:00","SUBS_PRESENCE_LOCATION_PK","140196945568",8
"27/09/2021 00:00","SUBSCRIPTION_IMSI_IDX","116354674784",9
"27/09/2021 00:00","CUSTOMER_PK","105123884224",10
"27/09/2021 01:00","SUBSCRIPTION_CONSUMPTION_PK","5763586779376",1
"27/09/2021 01:00","SUBSCRIPTION","3010823921392",2
"27/09/2021 01:00","SUBSCRIPTION_PRESENCE_LOCATION","388419500320",3
"27/09/2021 01:00","HISTO_GPRS_09","313530225584",4
"27/09/2021 01:00","SUBSCRIPTION_MRNUMBER_IDX","239229763344",5
"27/09/2021 01:00","PREINVENTORY","201561044864",6
"27/09/2021 01:00","POOL_CDR","167352287744",7
