AWRDATE,OBJECT,VALUE,RANK
"22/09/2021 22:00","SUBSCRIPTION_CONSUMPTION","3244128821",3
"22/09/2021 22:00","SUBSCRIPTION","1346767286",4
"22/09/2021 22:00","SUBS_PRESENCE_LOCATION_01_IDX","602019387",5
"22/09/2021 22:00","HISTO_GPRS_09","309019990",6
"22/09/2021 22:00","HISTO_LOCATION_09_PK","238847024",7
"22/09/2021 22:00","HISTO_GPRS_09_IDX","50099994",8
"22/09/2021 22:00","POOL_CHARGING","23377504",9
"22/09/2021 22:00","HISTO_LOCATION_09","3544336",10
"22/09/2021 23:00","SUBSCRIPTION_PRESENCE_LOCATION","8659469247",1
"22/09/2021 23:00","HISTO_GPRS_09_PK","5132656152",2
"22/09/2021 23:00","SUBSCRIPTION_CONSUMPTION","3247182995",3
"22/09/2021 23:00","SUBSCRIPTION","1348322757",4
"22/09/2021 23:00","SUBS_PRESENCE_LOCATION_01_IDX","602606307",5
"22/09/2021 23:00","HISTO_GPRS_09","275606352",6
"22/09/2021 23:00","HISTO_LOCATION_09_PK","239606145",7
"22/09/2021 23:00","HISTO_GPRS_09_IDX","48280228",8
"22/09/2021 23:00","POOL_CHARGING","23406850",9
"22/09/2021 23:00","HISTO_LOCATION_09","7167108",10
"23/09/2021 00:00","SUBSCRIPTION_PRESENCE_LOCATION","8668122988",1
"23/09/2021 00:00","HISTO_GPRS_09_PK","5144284273",2
"23/09/2021 00:00","SUBSCRIPTION_CONSUMPTION","3250163404",3
"23/09/2021 00:00","SUBSCRIPTION","1349868256",4
"23/09/2021 00:00","SUBS_PRESENCE_LOCATION_01_IDX","603185521",5
"23/09/2021 00:00","HISTO_GPRS_09","293353843",6
"23/09/2021 00:00","HISTO_LOCATION_09_PK","240295414",7
"23/09/2021 00:00","HISTO_GPRS_09_IDX","49001087",8
"23/09/2021 00:00","POOL_CHARGING","23436008",9
"23/09/2021 00:00","HISTO_LOCATION_09","6377316",10
"23/09/2021 01:00","SUBSCRIPTION_PRESENCE_LOCATION","8676738254",1
"23/09/2021 01:00","HISTO_GPRS_09_PK","5155669215",2
"23/09/2021 01:00","SUBSCRIPTION_CONSUMPTION","3253011183",3
"23/09/2021 01:00","SUBSCRIPTION","1351404181",4
"23/09/2021 01:00","SUBS_PRESENCE_LOCATION_01_IDX","603713675",5
"23/09/2021 01:00","HISTO_GPRS_09","264971557",6
"23/09/2021 01:00","HISTO_LOCATION_09_PK","240906580",7
"23/09/2021 01:00","HISTO_GPRS_09_IDX","49891882",8
"23/09/2021 01:00","POOL_CHARGING","23463646",9
"23/09/2021 01:00","HISTO_LOCATION_09","3734228",10
"23/09/2021 02:00","SUBSCRIPTION_PRESENCE_LOCATION","8684048177",1
"23/09/2021 02:00","HISTO_GPRS_09_PK","5166641176",2
"23/09/2021 02:00","SUBSCRIPTION_CONSUMPTION","3255816820",3
"23/09/2021 02:00","SUBSCRIPTION","1352887315",4
"23/09/2021 02:00","SUBS_PRESENCE_LOCATION_01_IDX","604253228",5
"23/09/2021 02:00","HISTO_GPRS_09","314882244",6
"23/09/2021 02:00","HISTO_LOCATION_09_PK","241426887",7
"23/09/2021 02:00","HISTO_GPRS_09_IDX","48739877",8
"23/09/2021 02:00","POOL_CHARGING","23491180",9
"23/09/2021 02:00","HISTO_LOCATION_09","5779068",10
"23/09/2021 03:00","SUBSCRIPTION_PRESENCE_LOCATION","8691570970",1
"23/09/2021 03:00","HISTO_GPRS_09_PK","5177198214",2
